Idiopathic generalized epilepsy	idiopathic generalized epilepsy,,generalized idiopathic epilepsy, not intractable,,refractory idiopathic generalized epilepsy,,idiopathic generalized epilepsy in childhood,,epilepsy, idiopathic generalized, susceptibility to, 3,,epilepsy, idiopathic generalized, susceptibility to, 2,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 6,,epilepsy, idiopathic generalized, susceptibility to, 5 (finding),,epilepsy, idiopathic generalized, susceptibility to, 1,,epilepsy, idiopathic generalized, susceptibility to, 9,,epilepsy, idiopathic generalized, susceptibility to, 11,,epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 7,,epilepsy, idiopathic generalized, susceptibility to, 8,,idiopathic generalized epilepsy, non-refractory,,epilepsy, idiopathic generalized, susceptibility to, 12,,epilepsy, idiopathic generalized, susceptibility to, 13,,epilepsy, idiopathic generalized, susceptibility to, 14,,epilepsy, idiopathic generalized, susceptibility to, 15,,epilepsy, idiopathic generalized, susceptibility to, 16,,photoparoxysmal response 2,,epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8,,generalized idiopathic epilepsy, not intractable, with status epilepticus,,generalized idiopathic epilepsy and epileptic syndromes without intractability
ehlers-danlos syndrome type 6	 hydroxylysine-deficient,,Ehlers-Danlos syndrome, hydroxylysine-deficient
ehlers-danlos syndrome, non hydroxylysine deficient ocular type	 hydroxylysine-deficient,,Ehlers-Danlos syndrome, hydroxylysine-deficient
cutis hyperelastica vi, ocular type or hydroxylysine- deficient collagen type	 hydroxylysine-deficient
Ehlers-Danlos syndrome, hydroxylysine-deficient	ehlers-danlos syndrome type 6,,ehlers-danlos syndrome, non hydroxylysine deficient ocular type
Hereditary motor and sensory neuropathy with optic atrophy	hereditary motor and sensory neuropathy with optic atrophy (disorder),,neuropathy, hereditary motor and sensory, type vib, with optic atrophy,,neuropathy, hereditary motor and sensory, type vic, with optic atrophy
neuropathy, hereditary motor and sensory, type vib, with optic atrophy	Hereditary motor and sensory neuropathy with optic atrophy
neuropathy, hereditary motor and sensory, type vic, with optic atrophy	Hereditary motor and sensory neuropathy with optic atrophy
Hereditary pancreatitis	hereditary pancreatitis,,familial acute pancreatitis,,hereditary pancreatitis gene,,autosomal dominant hereditary pancreatitis,,hereditary pancreatitis gene mutations tested for,,hereditary pancreatitis gene mutation reagents,,hereditary pancreatitis gene panel reagents,,hereditary pancreatitis gene mutations tested for:prid:pt:bld/tiss:nom:molgen,,hereditary pancreatitis gene targeted mutation analysis:prid:pt:bld/tiss:nom:molgen,,hereditary pancreatitis gene targeted mutation analysis,,hereditary pancreatitis gene anomaly detection reagents,,hereditary pancreatitis gene mutations tested for &#x7c; blood or tissue &#x7c; mutations,,hereditary pancreatitis gene targeted mutation analysis &#x7c; blood or tissue &#x7c; mutations
hereditary pancreatitis	Hereditary pancreatitis
familial acute pancreatitis	Hereditary pancreatitis
hereditary pancreatitis gene	Hereditary pancreatitis
autosomal dominant hereditary pancreatitis	Hereditary pancreatitis
hereditary pancreatitis gene mutations tested for	Hereditary pancreatitis
hereditary pancreatitis gene mutation reagents	Hereditary pancreatitis
hereditary pancreatitis gene panel reagents	Hereditary pancreatitis
hereditary pancreatitis gene mutations tested for:prid:pt:bld/tiss:nom:molgen	Hereditary pancreatitis
hereditary pancreatitis gene targeted mutation analysis:prid:pt:bld/tiss:nom:molgen	Hereditary pancreatitis
hereditary pancreatitis gene targeted mutation analysis	Hereditary pancreatitis
hereditary pancreatitis gene anomaly detection reagents	Hereditary pancreatitis
hereditary pancreatitis gene mutations tested for &#x7c; blood or tissue &#x7c; mutations	Hereditary pancreatitis
hereditary pancreatitis gene targeted mutation analysis &#x7c; blood or tissue &#x7c; mutations	Hereditary pancreatitis
Age-related cortical cataract	age-related cortical cataract,,cataract, age-related cortical, 1,,cataract, posterior polar, 1,,cortical age-related cataract, bilateral,,cataract 6, age-related cortical,,cortical age-related cataract of right eye,,cortical age-related cataract of left eye,,cortical age-related cataract, unspecified eye,,bilateral cortical age-related cataract eyes
age-related cortical cataract	Age-related cortical cataract
cataract, age-related cortical, 1	Age-related cortical cataract
cataract, posterior polar, 1	Age-related cortical cataract,,Cataract 6, multiple types,, multiple types
cortical age-related cataract, bilateral	Age-related cortical cataract
cataract 6, age-related cortical	Age-related cortical cataract
cortical age-related cataract of right eye	Age-related cortical cataract
cortical age-related cataract of left eye	Age-related cortical cataract
cortical age-related cataract, unspecified eye	Age-related cortical cataract
bilateral cortical age-related cataract eyes	Age-related cortical cataract
Cataract 6, multiple types	cataract, posterior polar, 1
 multiple types	integration of multiple types of measures,,porokeratosis of mibelli,,cataract, congenital, cerulean type, 2,,cataract, congenital zonular, with sutural opacities,,cataract, autosomal recessive, early-onset, pulverulent,,cataract, posterior polar, 3,,cataract, congenital nuclear, autosomal recessive 2,,cancer of multiple types, susceptibility to,,cataract, autosomal dominant,,cataract, posterior polar, 1,,cataract, zonular pulverulent 1,,cataract, congenital, volkmann type,,cataract, posterior polar, 4 (disorder),,cataract, zonular pulverulent 3,,porokeratosis, disseminated superficial actinic, 1,,porokeratosis, disseminated superficial actinic, 4,,cataract, autosomal recessive congenital 3,,cataract 4, multiple types,,porokeratosis 7, multiple types,,cataract 20, multiple types,,cataract 30,,cataract, congenital, multiple types,,cataract 23, multiple types,,cataract 33, multiple types,,cataract 12, multiple types
integration of multiple types of measures	 multiple types
porokeratosis of mibelli	 multiple types
cataract, congenital, cerulean type, 2	 multiple types
cataract, congenital zonular, with sutural opacities	 multiple types
cataract, autosomal recessive, early-onset, pulverulent	 multiple types
cataract, posterior polar, 3	 multiple types
cataract, congenital nuclear, autosomal recessive 2	 multiple types
cancer of multiple types, susceptibility to	 multiple types
cataract, autosomal dominant	 multiple types
cataract, zonular pulverulent 1	 multiple types
cataract, congenital, volkmann type	 multiple types
cataract, posterior polar, 4 (disorder)	 multiple types
cataract, zonular pulverulent 3	 multiple types
porokeratosis, disseminated superficial actinic, 1	 multiple types
porokeratosis, disseminated superficial actinic, 4	 multiple types
cataract, autosomal recessive congenital 3	 multiple types
cataract 4, multiple types	 multiple types
porokeratosis 7, multiple types	 multiple types
cataract 20, multiple types	 multiple types
cataract 30	 multiple types
cataract, congenital, multiple types	 multiple types
cataract 23, multiple types	 multiple types
cataract 33, multiple types	 multiple types
cataract 12, multiple types	 multiple types
Parkinson disease 9	kufor-rakeb syndrome,,atp13a2 gene
History of neurodevelopmental disorder	history of neurodevelopmental disorder
history of neurodevelopmental disorder	History of neurodevelopmental disorder
Kufor-Rakeb syndrome	kufor-rakeb syndrome,,atp13a2 gene
 autosomal recessive	autosomal recessive inheritance,,adult neuronal ceroid lipofuscinosis,,osteoarthropathy, primary hypertrophic,,autosomal recessive polycystic kidney disease,,autosomal recessive trait,,autosomal recessive scid,,jarcho-levin syndrome,,autosomal recessive hereditary disorder,,nadh cytochrome b5 reductase deficiency,,autosomal recessive ocular albinism,,hereditary motor and sensory-neuropathy type ii,,autosomal recessive asexual dwarfism,,autosomal recessive retinitis pigmentosa,,autosomal recessive hypophosphatemic vitamin d refractory rickets,,osteopetrosis, autosomal recessive 3,,autosomal recessive thymic dysplasia,,myopathy, centronuclear, autosomal recessive,,spondyloepimetaphyseal dysplasia, irapa type,,van buchem disease,,thrombocytopenia, primary autosomal recessive,,3-methylglutaconic aciduria type 3,,becker generalized myotonia,,nemaline myopathy, autosomal recessive,,autosomal recessive parkinsonism,,autosomal recessive familial dystonia
autosomal recessive hereditary disorder	 autosomal recessive
nadh cytochrome b5 reductase deficiency	 autosomal recessive,,Maple syrup urine disease
autosomal recessive ocular albinism	 autosomal recessive
autosomal recessive asexual dwarfism	 autosomal recessive
autosomal recessive retinitis pigmentosa	 autosomal recessive,,Retinitis pigmentosa,,Retinitis Pigmentosa, Recessive
autosomal recessive hypophosphatemic vitamin d refractory rickets	 autosomal recessive
osteopetrosis, autosomal recessive 3	 autosomal recessive
autosomal recessive thymic dysplasia	 autosomal recessive
myopathy, centronuclear, autosomal recessive	 autosomal recessive
spondyloepimetaphyseal dysplasia, irapa type	 autosomal recessive
van buchem disease	 autosomal recessive
thrombocytopenia, primary autosomal recessive	 autosomal recessive
3-methylglutaconic aciduria type 3	 autosomal recessive
becker generalized myotonia	 autosomal recessive
nemaline myopathy, autosomal recessive	 autosomal recessive
autosomal recessive parkinsonism	 autosomal recessive
autosomal recessive familial dystonia	 autosomal recessive
 Spastic paraplegia 78, autosomal recessive	spastic paraplegia 78, autosomal recessive
spastic paraplegia 78, autosomal recessive	 Spastic paraplegia 78, autosomal recessive
Pheochromocytoma	pheochromocytoma,,adrenal gland pheochromocytoma,,pc12 cells,,regional pheochromocytoma,,metastatic pheochromocytoma,,recurrent pheochromocytoma,,stage, pheochromocytoma,,malignant pheochromocytoma,,phaeochromocytoma storm,,benign pheochromocytoma,,phaeochromocytoma aggravated,,phaeochromocytoma excision,,pheochromocytoma, extra-adrenal,,localized adrenal gland pheochromocytoma,,hypertension (with pheochromocytoma),,benign pheochromocytoma of adrenal gland,,metastatic adrenal gland pheochromocytoma,,pheochromocytoma, modifier of,,pheochromocytoma, somatic,,headache (with pheochromocytoma),,anxiety (with pheochromocytoma),,diaphoresis (with pheochromocytoma),,palpitations (with pheochromocytoma),,tachycardia (with pheochromocytoma),,benign ectopic pheochromocytoma
pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
adrenal gland pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
pc12 cells	Pheochromocytoma,, Pheochromocytoma
regional pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
metastatic pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
recurrent pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
stage, pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
malignant pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
phaeochromocytoma storm	Pheochromocytoma,, Pheochromocytoma
benign pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
phaeochromocytoma aggravated	Pheochromocytoma,, Pheochromocytoma
phaeochromocytoma excision	Pheochromocytoma,, Pheochromocytoma
pheochromocytoma, extra-adrenal	Pheochromocytoma,, Pheochromocytoma
localized adrenal gland pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
hypertension (with pheochromocytoma)	Pheochromocytoma,, Pheochromocytoma
benign pheochromocytoma of adrenal gland	Pheochromocytoma,, Pheochromocytoma
metastatic adrenal gland pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
pheochromocytoma, modifier of	Pheochromocytoma,, Pheochromocytoma,, modifier of
pheochromocytoma, somatic	Pheochromocytoma,, Pheochromocytoma
headache (with pheochromocytoma)	Pheochromocytoma,, Pheochromocytoma
anxiety (with pheochromocytoma)	Pheochromocytoma,, Pheochromocytoma
diaphoresis (with pheochromocytoma)	Pheochromocytoma,, Pheochromocytoma
palpitations (with pheochromocytoma)	Pheochromocytoma,, Pheochromocytoma
tachycardia (with pheochromocytoma)	Pheochromocytoma,, Pheochromocytoma
benign ectopic pheochromocytoma	Pheochromocytoma,, Pheochromocytoma
Cowden syndrome	hamartoma syndrome, multiple,,cowden-like syndrome (disorder),,cowden syndrome 4,,cowden syndrome 5,,cowden syndrome 6,,cowden syndrome cws6,,cowden syndrome cws5,,cowden syndrome cws4,,cowden syndrome cws3,,cowden syndrome cws2,,cowden syndrome cws1,,cowden syndrome 7,,family history of cowden syndrome,,cowden syndrome (cs) gene mutation reagents,,cowden-like syndrome gene anomaly detection reagents,,cowden syndrome 5 (cs5) gene anomaly detection reagents,,cowden syndrome 2 (cws2) gene anomaly detection reagents,,cowden syndrome 3 (cws3) gene anomaly detection reagents,,hereditary colon cancer disorders (eg, lynch syndrome, pten hamartoma syndrome, cowden syndrome, familial adenomatosis polyposis),,pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome) gene analysis; full sequence analysis,,pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome) gene analysis; known familial variant,,pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome) gene analysis; duplication/deletion variant,,pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome) gene analysis,,hereditary colon cancer disorders (eg, lynch syndrome, pten hamartoma syndrome, cowden syndrome, familial adenomatosis polyposis); genomic sequence analysis panel, must include sequencing of at least 10 genes, including apc, bmpr1a, cdh1, mlh1, msh2, msh6, mutyh, pten, smad4, and stk11,,hereditary colon cancer disorders (eg, lynch syndrome, pten hamartoma syndrome, cowden syndrome, familial adenomatosis polyposis); duplication/deletion analysis panel, must include analysis of at least 5 genes, including mlh1, msh2, epcam, smad4, and stk11
hamartoma syndrome, multiple	Cowden syndrome
cowden-like syndrome (disorder)	Cowden syndrome
cowden syndrome 4	Cowden syndrome
cowden syndrome 5	Cowden syndrome
cowden syndrome 6	Cowden syndrome
cowden syndrome cws6	Cowden syndrome
cowden syndrome cws5	Cowden syndrome
cowden syndrome cws4	Cowden syndrome
cowden syndrome cws3	Cowden syndrome
cowden syndrome cws2	Cowden syndrome
cowden syndrome cws1	Cowden syndrome
cowden syndrome 7	Cowden syndrome
family history of cowden syndrome	Cowden syndrome
cowden syndrome (cs) gene mutation reagents	Cowden syndrome
cowden-like syndrome gene anomaly detection reagents	Cowden syndrome
cowden syndrome 5 (cs5) gene anomaly detection reagents	Cowden syndrome
cowden syndrome 2 (cws2) gene anomaly detection reagents	Cowden syndrome
cowden syndrome 3 (cws3) gene anomaly detection reagents	Cowden syndrome
hereditary colon cancer disorders (eg, lynch syndrome, pten hamartoma syndrome, cowden syndrome, familial adenomatosis polyposis)	Cowden syndrome
pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome) gene analysis; full sequence analysis	Cowden syndrome
pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome) gene analysis; known familial variant	Cowden syndrome
pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome) gene analysis; duplication/deletion variant	Cowden syndrome
pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome) gene analysis	Cowden syndrome
hereditary colon cancer disorders (eg, lynch syndrome, pten hamartoma syndrome, cowden syndrome, familial adenomatosis polyposis); genomic sequence analysis panel, must include sequencing of at least 10 genes, including apc, bmpr1a, cdh1, mlh1, msh2, msh6, mutyh, pten, smad4, and stk11	Cowden syndrome
hereditary colon cancer disorders (eg, lynch syndrome, pten hamartoma syndrome, cowden syndrome, familial adenomatosis polyposis); duplication/deletion analysis panel, must include analysis of at least 5 genes, including mlh1, msh2, epcam, smad4, and stk11	Cowden syndrome
Hereditary cancer-predisposing syndrome	neoplastic syndromes, hereditary,,at risk of hereditary cancer-predisposing syndrome
neoplastic syndromes, hereditary	Hereditary cancer-predisposing syndrome
at risk of hereditary cancer-predisposing syndrome	Hereditary cancer-predisposing syndrome
Paragangliomas 4	paragangliomas 4,,paragangliomas 4 (pgl4) gene anomaly detection reagents
paragangliomas 4	Paragangliomas 4,, Paragangliomas 4
paragangliomas 4 (pgl4) gene anomaly detection reagents	Paragangliomas 4,, Paragangliomas 4
Gastrointestinal stromal tumor	gastrointestinal stromal tumors,,gastrointestinal stromal tumor, benign,,colorectal gastrointestinal stromal tumor,,esophageal gastrointestinal stromal tumor,,extragastrointestinal gastrointestinal stromal tumor,,gastric gastrointestinal stromal tumor,,gastrointestinal stromal tumor of the gastrointestinal tract,,mesenteric gastrointestinal stromal tumor,,retroperitoneal gastrointestinal stromal tumor,,omentum gastrointestinal stromal tumor,,peritoneal gastrointestinal stromal tumor,,gastrointestinal stromal tumor - category,,paraganglioma and gastric stromal sarcoma,,gastrointestinal stromal tumor, familial,,gastrointestinal stromal tumor of esophagus,,gastrointestinal stromal sarcoma,,gastrointestinal stromal tumor, somatic,,history of gastrointestinal stromal tumor,,gastrointestinal stromal neoplasm of duodenum,,childhood gastrointestinal stromal tumor,,gastrointestinal stromal tumor of jejunum,,gastrointestinal stromal tumor of rectum,,recurrent gastrointestinal stromal tumor,,metastatic gastrointestinal stromal tumor,,unresectable gastrointestinal stromal tumor
gastrointestinal stromal tumor, benign	Gastrointestinal stromal tumor
colorectal gastrointestinal stromal tumor	Gastrointestinal stromal tumor
esophageal gastrointestinal stromal tumor	Gastrointestinal stromal tumor
extragastrointestinal gastrointestinal stromal tumor	Gastrointestinal stromal tumor
gastrointestinal stromal tumor of the gastrointestinal tract	Gastrointestinal stromal tumor
mesenteric gastrointestinal stromal tumor	Gastrointestinal stromal tumor
retroperitoneal gastrointestinal stromal tumor	Gastrointestinal stromal tumor
omentum gastrointestinal stromal tumor	Gastrointestinal stromal tumor
peritoneal gastrointestinal stromal tumor	Gastrointestinal stromal tumor
gastrointestinal stromal tumor - category	Gastrointestinal stromal tumor
paraganglioma and gastric stromal sarcoma	Gastrointestinal stromal tumor,,Carney-Stratakis syndrome,,Paraganglioma and gastric stromal sarcoma
gastrointestinal stromal tumor, familial	Gastrointestinal stromal tumor
gastrointestinal stromal tumor of esophagus	Gastrointestinal stromal tumor
gastrointestinal stromal tumor, somatic	Gastrointestinal stromal tumor
history of gastrointestinal stromal tumor	Gastrointestinal stromal tumor
gastrointestinal stromal neoplasm of duodenum	Gastrointestinal stromal tumor
childhood gastrointestinal stromal tumor	Gastrointestinal stromal tumor
gastrointestinal stromal tumor of jejunum	Gastrointestinal stromal tumor
gastrointestinal stromal tumor of rectum	Gastrointestinal stromal tumor
recurrent gastrointestinal stromal tumor	Gastrointestinal stromal tumor
metastatic gastrointestinal stromal tumor	Gastrointestinal stromal tumor
unresectable gastrointestinal stromal tumor	Gastrointestinal stromal tumor
 Paragangliomas 4	paragangliomas 4,,paragangliomas 4 (pgl4) gene anomaly detection reagents
 Pheochromocytoma	pheochromocytoma,,adrenal gland pheochromocytoma,,pc12 cells,,regional pheochromocytoma,,metastatic pheochromocytoma,,recurrent pheochromocytoma,,stage, pheochromocytoma,,malignant pheochromocytoma,,phaeochromocytoma storm,,benign pheochromocytoma,,phaeochromocytoma aggravated,,phaeochromocytoma excision,,pheochromocytoma, extra-adrenal,,localized adrenal gland pheochromocytoma,,hypertension (with pheochromocytoma),,benign pheochromocytoma of adrenal gland,,metastatic adrenal gland pheochromocytoma,,pheochromocytoma, modifier of,,pheochromocytoma, somatic,,headache (with pheochromocytoma),,anxiety (with pheochromocytoma),,diaphoresis (with pheochromocytoma),,palpitations (with pheochromocytoma),,tachycardia (with pheochromocytoma),,benign ectopic pheochromocytoma
Hereditary Paraganglioma-Pheochromocytoma Syndromes	no results
Carney-Stratakis syndrome	paraganglioma and gastric stromal sarcoma,,carney-stratakis syndrome gene anomaly detection reagents
carney-stratakis syndrome gene anomaly detection reagents	Carney-Stratakis syndrome
Malignant tumor of breast	malignant neoplasm of breast,,excision of malignant tumor of breast,,malignant neoplasm of female breast,,malignant neoplasm of male breast,,malignant phyllodes tumor of breast,,malignant neoplasm of breast staging,,no history of malignant tumor of breast,,local recurrence of malignant tumor of breast,,metastasis from malignant tumor of breast,,malignant solitary fibrous tumor of breast,,malignant granular cell tumor of breast,,malignant neoplasm of breast stage 0,,malignant neoplasm of breast stage i,,malignant neoplasm of breast stage iia,,malignant neoplasm of breast stage iib,,malignant neoplasm of breast stage iiia,,malignant neoplasm of breast stage iiib,,malignant neoplasm of breast stage iv,,malignant neoplasm of breast tnm staging,,microwave destruction of malignant breast tumor,,history of recurrent malignant neoplasm of breast,,malignant neoplasm of breast stage iiic,,malignant neoplasm of nipple and areola of female breast,,malignant neoplasm of central part of female breast,,malignant neoplasm of upper-inner quadrant of female breast
malignant neoplasm of breast	Malignant tumor of breast
excision of malignant tumor of breast	Malignant tumor of breast
malignant neoplasm of female breast	Malignant tumor of breast
malignant neoplasm of male breast	Malignant tumor of breast
malignant phyllodes tumor of breast	Malignant tumor of breast
malignant neoplasm of breast staging	Malignant tumor of breast
no history of malignant tumor of breast	Malignant tumor of breast
local recurrence of malignant tumor of breast	Malignant tumor of breast
metastasis from malignant tumor of breast	Malignant tumor of breast
malignant solitary fibrous tumor of breast	Malignant tumor of breast
malignant granular cell tumor of breast	Malignant tumor of breast
malignant neoplasm of breast stage 0	Malignant tumor of breast
malignant neoplasm of breast stage i	Malignant tumor of breast
malignant neoplasm of breast stage iia	Malignant tumor of breast
malignant neoplasm of breast stage iib	Malignant tumor of breast
malignant neoplasm of breast stage iiia	Malignant tumor of breast
malignant neoplasm of breast stage iiib	Malignant tumor of breast
malignant neoplasm of breast stage iv	Malignant tumor of breast
malignant neoplasm of breast tnm staging	Malignant tumor of breast
microwave destruction of malignant breast tumor	Malignant tumor of breast
history of recurrent malignant neoplasm of breast	Malignant tumor of breast
malignant neoplasm of breast stage iiic	Malignant tumor of breast
malignant neoplasm of nipple and areola of female breast	Malignant tumor of breast
malignant neoplasm of central part of female breast	Malignant tumor of breast
malignant neoplasm of upper-inner quadrant of female breast	Malignant tumor of breast
Paraganglioma and gastric stromal sarcoma	paraganglioma and gastric stromal sarcoma,,paraganglioma and gastric stromal sarcoma gene anomaly detection reagents,,carney-stratakis dyad of paraganglioma and gastric stromal sarcoma gene anomaly detection reagents
paraganglioma and gastric stromal sarcoma gene anomaly detection reagents	Paraganglioma and gastric stromal sarcoma
carney-stratakis dyad of paraganglioma and gastric stromal sarcoma gene anomaly detection reagents	Paraganglioma and gastric stromal sarcoma
Uncombable hair syndrome	uncombable hair syndrome,,uncombable hair syndrome 3,,uncombable hair syndrome 2,,uncombable hair syndrome 1,,kozlowski-krajewska syndrome,,bork stender schmidt syndrome,,mental retardation-polydactyly-phalangeal hypoplasia-syndactyly-unusual face-uncombable hair syndrome
uncombable hair syndrome	Uncombable hair syndrome
uncombable hair syndrome 3	Uncombable hair syndrome
uncombable hair syndrome 2	Uncombable hair syndrome
uncombable hair syndrome 1	Uncombable hair syndrome
kozlowski-krajewska syndrome	Uncombable hair syndrome
bork stender schmidt syndrome	Uncombable hair syndrome
mental retardation-polydactyly-phalangeal hypoplasia-syndactyly-unusual face-uncombable hair syndrome	Uncombable hair syndrome
Hyperprolinemia	hyperprolinemia,,hyperdicarboxylicaminoaciduria and hyperprolinemia,,proline dehydrogenase deficiency,,hyperprolinemia (types i, ii),,hyperprolinemia type 2,,hyperprolinemia (10-15 times normal),,hyperprolinemia (5-10 times normal)
hyperprolinemia	Hyperprolinemia
hyperdicarboxylicaminoaciduria and hyperprolinemia	Hyperprolinemia
proline dehydrogenase deficiency	Hyperprolinemia
hyperprolinemia (types i, ii)	Hyperprolinemia
hyperprolinemia type 2	Hyperprolinemia,,Deficiency of pyrroline-5-carboxylate reductase
hyperprolinemia (10-15 times normal)	Hyperprolinemia
hyperprolinemia (5-10 times normal)	Hyperprolinemia
Deficiency of pyrroline-5-carboxylate reductase	hyperprolinemia type 2
Parkinson disease 6, autosomal recessive early-onset	parkinson disease 6, autosomal recessive early-onset
Congenital disorder of glycosylation	congenital disorders of glycosylation,,rft1 gene,,congenital disorder of glycosylation, type id,,congenital disorder of glycosylation, type if,,congenital disorder of glycosylation, type iih,,congenital disorder of glycosylation, type iif,,congenital disorder of glycosylation, type in,,glycogen storage disease xiv,,congenital disorder of glycosylation type 1g,,congenital disorder of glycosylation type 1h,,congenital disorder of glycosylation type 1k,,congenital disorder of glycosylation type 1l,,congenital disorder of glycosylation type 2e,,congenital disorder of glycosylation, type 2g,,cog5 congenital disorder of glycosylation,,cog4 congenital disorder of glycosylation,,congenital disorder of glycosylation type 1s,,congenital disorder of glycosylation, type ip,,cutis laxa, autosomal recessive, type iia,,congenital disorder of glycosylation type 1a,,congenital disorder of glycosylation, type 2c,,congenital disorder of glycosylation, type im,,congenital disorder of glycosylation, type ie,,congenital disorder of glycosylation, type ii,,congenital disorder of glycosylation, type iiid
congenital disorders of glycosylation	Congenital disorder of glycosylation
rft1 gene	Congenital disorder of glycosylation
congenital disorder of glycosylation, type id	Congenital disorder of glycosylation
congenital disorder of glycosylation, type if	Congenital disorder of glycosylation
congenital disorder of glycosylation, type iih	Congenital disorder of glycosylation
congenital disorder of glycosylation, type iif	Congenital disorder of glycosylation
congenital disorder of glycosylation, type in	Congenital disorder of glycosylation
glycogen storage disease xiv	Congenital disorder of glycosylation,,Congenital disorder of glycosylation type 1t
congenital disorder of glycosylation type 1g	Congenital disorder of glycosylation
congenital disorder of glycosylation type 1h	Congenital disorder of glycosylation
congenital disorder of glycosylation type 1k	Congenital disorder of glycosylation
congenital disorder of glycosylation type 1l	Congenital disorder of glycosylation
congenital disorder of glycosylation type 2e	Congenital disorder of glycosylation
congenital disorder of glycosylation, type 2g	Congenital disorder of glycosylation
cog5 congenital disorder of glycosylation	Congenital disorder of glycosylation
cog4 congenital disorder of glycosylation	Congenital disorder of glycosylation
congenital disorder of glycosylation type 1s	Congenital disorder of glycosylation
congenital disorder of glycosylation, type ip	Congenital disorder of glycosylation
cutis laxa, autosomal recessive, type iia	Congenital disorder of glycosylation
congenital disorder of glycosylation type 1a	Congenital disorder of glycosylation
congenital disorder of glycosylation, type 2c	Congenital disorder of glycosylation
congenital disorder of glycosylation, type im	Congenital disorder of glycosylation
congenital disorder of glycosylation, type ie	Congenital disorder of glycosylation
congenital disorder of glycosylation, type ii	Congenital disorder of glycosylation
congenital disorder of glycosylation, type iiid	Congenital disorder of glycosylation
Congenital disorder of glycosylation type Ir	congenital disorder of glycosylation type 1r
congenital disorder of glycosylation type 1r	Congenital disorder of glycosylation type Ir
Hypophosphatasia	hypophosphatasia,,childhood hypophosphatasia (disorder),,infantile hypophosphatasia,,adult hypophosphatasia (disorder),,hypophosphatasia rickets,,recurrent fractures (hypophosphatasia only),,pathologic fractures (hypophosphatasia only),,osteomalacia (hypophosphatasia only),,rickets (hypophosphatasia only),,chondrocalcinosis (hypophosphatasia only),,hypophosphatasia, perinatal lethal,,periodontitis co-occurrent with hypophosphatasia,,hypophosphatasia, infantile, glu174lys (allelic variant),,long bone pseudofractures (hypophosphatasia only),,calcium pyrophosphate arthropathy (hypophosphatasia only),,metatarsal stress fracture (hypophosphatasia only)
hypophosphatasia	Hypophosphatasia
childhood hypophosphatasia (disorder)	Hypophosphatasia
infantile hypophosphatasia	Hypophosphatasia
adult hypophosphatasia (disorder)	Hypophosphatasia
hypophosphatasia rickets	Hypophosphatasia
recurrent fractures (hypophosphatasia only)	Hypophosphatasia
pathologic fractures (hypophosphatasia only)	Hypophosphatasia
osteomalacia (hypophosphatasia only)	Hypophosphatasia
rickets (hypophosphatasia only)	Hypophosphatasia
chondrocalcinosis (hypophosphatasia only)	Hypophosphatasia
hypophosphatasia, perinatal lethal	Hypophosphatasia
periodontitis co-occurrent with hypophosphatasia	Hypophosphatasia
hypophosphatasia, infantile, glu174lys (allelic variant)	Hypophosphatasia
long bone pseudofractures (hypophosphatasia only)	Hypophosphatasia
calcium pyrophosphate arthropathy (hypophosphatasia only)	Hypophosphatasia
metatarsal stress fracture (hypophosphatasia only)	Hypophosphatasia
Dyssegmental Dysplasia	dyssegmental dysplasia,,dyssegmental dysplasia with glaucoma,,dyssegmental dysplasia, rolland-desbuquois type
dyssegmental dysplasia	Dyssegmental Dysplasia,,Lethal Kniest-like syndrome
dyssegmental dysplasia with glaucoma	Dyssegmental Dysplasia
dyssegmental dysplasia, rolland-desbuquois type	Dyssegmental Dysplasia
Schwartz Jampel syndrome type 1	schwartz-jampel syndrome, type 1,,schwartz-jampel syndrome
schwartz-jampel syndrome, type 1	Schwartz Jampel syndrome type 1,,Schwartz-Jampel syndrome
schwartz-jampel syndrome	Schwartz Jampel syndrome type 1,,Schwartz-Jampel syndrome
