Gene,Disease,MOI,"Expert Panel",SOP,Classification,"Last Eval."
CTLA4,"autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency",AD,"Antibody Immunodeficiencies",SOP8,Definitive,03/16/2021
CTNNA1,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,"No Known Disease Relationship",04/24/2017
CTNNA3,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Limited,08/06/2019
CTSD,"neuronal ceroid lipofuscinosis",AR,Epilepsy,SOP7,Definitive,11/03/2020
CUL3,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP8,Definitive,01/16/2021
CUL4B,"X-linked intellectual disability, Cabezas type",XL,"Intellectual Disability and Autism",SOP5,Definitive,02/21/2018
CYLD,"Brooke-Spiegler syndrome",AD,"Hereditary Cancer",SOP6,Definitive,12/21/2018
DBT,"maple syrup urine disease",AR,Aminoacidopathy,SOP6,Definitive,10/30/2018
DCAF17,"Woodhouse-Sakati syndrome",AR,"Syndromic Disorders",SOP8,Definitive,02/19/2021
DCDC2,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP7,Limited,08/31/2020
DCLRE1C,"severe combined immunodeficiency due to DCLRE1C deficiency",AR,SCID-CID,SOP8,Definitive,02/18/2021
DCX,"lissencephaly spectrum disorders",XL,"Brain Malformations",SOP8,Definitive,02/23/2021
DDB2,"xeroderma pigmentosum group E",AR,"Hereditary Cancer",SOP6,Definitive,11/02/2018
DDX3X,"X-linked syndromic intellectual disability",XL,"Intellectual Disability and Autism",SOP7,Definitive,05/05/2020
DDX41,"DDX41-related hematologic malignancy predisposition syndrome",AD,"Hereditary Cancer",SOP7,Definitive,07/30/2020
DECR1,"progressive encephalopathy with leukodystrophy due to DECR deficiency",Undetermined,"Fatty Acid Oxidation Disorders",SOP7,"No Known Disease Relationship",01/25/2021
DEPDC5,"familial focal epilepsy with variable foci",AD,Epilepsy,SOP5,Definitive,08/24/2018
DES,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Definitive,10/09/2020
DES,"myofibrillar myopathy (disease)",SD,"Limb Girdle Muscular Dystrophy",SOP7,Definitive,08/20/2020
DES,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Moderate,09/11/2018
DHCR7,"Smith-Lemli-Opitz syndrome",AR,"Intellectual Disability and Autism",SOP5,Definitive,09/11/2018
DHTKD1,"2-aminoadipic 2-oxoadipic aciduria",AR,Aminoacidopathy,SOP7,Definitive,11/03/2020
DIABLO,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Limited,12/19/2017
DIAPH1,"diaph1-related sensorineural hearing loss-thrombocytopenia syndrome",AD,"Hearing Loss",SOP6,Definitive,01/05/2018
DIAPH3,"auditory neuropathy",AD,"Hearing Loss",SOP7,Limited,02/06/2020
DICER1,"pleuropulmonary blastoma",AD,"General Gene Curation",SOP4,Definitive,01/08/2017
DIS3L2,"Perlman syndrome",AR,"Hereditary Cancer",SOP6,Definitive,11/21/2019
DKC1,"DKC1-related disorder",XL,"Intellectual Disability and Autism",SOP7,Definitive,09/13/2020
DLAT,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Moderate,01/14/2021
DLD,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Definitive,03/11/2021
DLD,"pyruvate dehydrogenase E3 deficiency",AR,Aminoacidopathy,SOP6,Definitive,03/08/2019
DLG3,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Definitive,08/24/2018
DMGDH,"dimethylglycine dehydrogenase deficiency",AR,Aminoacidopathy,SOP6,Limited,06/28/2019
DMXL2,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP7,Limited,02/06/2020
DNAJB11,"polycystic kidney disease 6 with or without polycystic liver disease",AD,"Kidney Cystic and Ciliopathy Disorders",SOP7,Strong,02/26/2021
DNAJC12,"hyperphenylalaninemia due to DNAJC12 deficiency",AR,Aminoacidopathy,SOP7,Definitive,01/11/2021
DNM1,"obsolete early infantile epileptic encephalopathy",AD,Epilepsy,SOP4,Definitive,12/13/2016
DNM1,"infantile epilepsy syndrome",AD,Epilepsy,SOP5,Definitive,02/15/2021
DNM2,"Charcot-Marie-Tooth disease",AD,Charcot-Marie-Tooth,SOP7,Definitive,10/27/2020
DNM2,"autosomal dominant centronuclear myopathy",AD,"Congenital Myopathies",SOP6,Definitive,12/20/2019
DNMT1,"autosomal dominant cerebellar ataxia, deafness and narcolepsy",AD,"Hearing Loss",SOP4,Definitive,02/10/2017
DSC2,"familial isolated arrhythmogenic right ventricular dysplasia",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Definitive,09/14/2018
DSG2,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,08/07/2020
DSG2,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Definitive,09/14/2018
DSP,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Strong,08/12/2020
DSP,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP7,"No Known Disease Relationship",04/07/2020
DSP,"arrhythmogenic cardiomyopathy with woolly hair and keratoderma",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Definitive,07/12/2019
DSPP,"dentinogenesis imperfecta (disease)",AD,"Hearing Loss",SOP6,Definitive,04/17/2018
DTNA,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,08/12/2020
DYRK1A,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP7,Definitive,07/15/2020
DYSF,"autosomal recessive limb-girdle muscular dystrophy",AR,"Limb Girdle Muscular Dystrophy",SOP7,Definitive,05/01/2020
EARS2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Definitive,03/19/2020
ECHS1,"mitochondrial short-chain Enoyl-Coa hydratase 1 deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,10/09/2018
EDN3,"Waardenburg syndrome type 4B",AD,"Hearing Loss",SOP5,Limited,05/30/2018
EDN3,"Waardenburg syndrome type 4B",AR,"Hearing Loss",SOP6,Moderate,05/08/2018
EDNRB,"Waardenburg syndrome type 4A",AD,"Hearing Loss",SOP6,Limited,05/08/2018
EDNRB,"Waardenburg syndrome type 4A",AR,"Hearing Loss",SOP6,Moderate,05/08/2018
EEF1A2,"complex neurodevelopmental disorder",AD,Epilepsy,SOP6,Definitive,03/19/2019
EFEMP2,"familial thoracic aortic aneurysm and aortic dissection",AR,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Moderate,12/22/2016
EFHC1,"juvenile myoclonic epilepsy",AD,Epilepsy,SOP5,Disputed,07/27/2018
EFNB1,"craniofrontonasal syndrome",XL,"Craniofacial Malformations",SOP7,Definitive,10/26/2020
EGFR,"non-small cell lung carcinoma (disease)",AD,"Hereditary Cancer",SOP7,Definitive,07/30/2020
EHMT1,"Kleefstra syndrome",AD,"Intellectual Disability and Autism",SOP5,Definitive,06/07/2018
ELANE,neutropenia,AD,"Hereditary Cancer",SOP7,Definitive,05/14/2020
ELMOD3,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Limited,05/04/2017
EN2,"complex neurodevelopmental disorder",Undetermined,"Intellectual Disability and Autism",SOP8,Disputed,02/16/2021
ENG,"generalized juvenile polyposis/juvenile polyposis coli",AD,"Colon Cancer",SOP4,Limited,12/11/2017
ENG,"hereditary hemorrhagic telangiectasia",AD,"Hemostasis Thrombosis",SOP6,Definitive,08/28/2019
EPCAM,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",04/12/2017
EPCAM,"colorectal cancer, hereditary nonpolyposis, type 8",AD,"Colon Cancer",SOP4,Definitive,09/11/2017
EPHX1,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Limited,11/08/2016
EPM2A,"Lafora disease",AR,Epilepsy,SOP7,Definitive,05/23/2020
EPS8,"autosomal recessive nonsyndromic deafness 102",AR,"Hearing Loss",SOP7,Moderate,02/06/2020
EPS8L2,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP7,Moderate,02/05/2020
ERCC2,"xeroderma pigmentosum group D",AR,"Hereditary Cancer",SOP6,Definitive,11/02/2018
ERCC3,"xeroderma pigmentosum group B",AR,"Hereditary Cancer",SOP6,Definitive,11/02/2018
ERCC4,"xeroderma pigmentosum group F",AR,"Hereditary Cancer",SOP6,Definitive,08/14/2019
ERCC5,"xeroderma pigmentosum group G",AR,"Hereditary Cancer",SOP6,Definitive,11/02/2018
ESPN,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,02/27/2018
ESPN,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP5,Limited,09/20/2018
ESRRB,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,04/24/2018
ETFA,"multiple acyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,05/22/2018
ETFB,"multiple acyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP7,Moderate,12/16/2020
ETFDH,"multiple acyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,05/22/2018
ETHE1,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Definitive,04/08/2019
ETV6,"thrombocytopenia 5",AD,"Hemostasis Thrombosis",SOP7,Definitive,01/22/2020
EXO1,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Disputed,06/08/2017
EXT1,"exostoses, multiple, type 1",AD,"Hereditary Cancer",SOP5,Definitive,06/04/2018
EXT2,"exostoses, multiple, type 2",AD,"Hereditary Cancer",SOP6,Definitive,12/21/2018
EYA1,"branchio-oto-renal syndrome",AD,"Hearing Loss",SOP5,Definitive,08/30/2018
EYA4,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Definitive,01/05/2018
EYA4,"dilated cardiomyopathy 1J",AD,"Dilated Cardiomyopathy",SOP7,Limited,11/30/2020
F10,"congenital factor X deficiency",AR,"Hemostasis Thrombosis",SOP6,Definitive,11/27/2019
F11,"congenital factor XI deficiency",SD,"Hemostasis Thrombosis",SOP7,Definitive,10/23/2019
F12,"congenital factor XII deficiency",AR,"Hemostasis Thrombosis",SOP7,Definitive,01/22/2020
F12,"hereditary angioedema type 3",AD,"Hemostasis Thrombosis",SOP7,Moderate,01/23/2020
F13A1,"factor XIII, A subunit, deficiency of",AR,"Hemostasis Thrombosis",SOP6,Definitive,07/22/2020
F13B,"factor XIII, b subunit, deficiency of",AR,"Hemostasis Thrombosis",SOP6,Definitive,07/22/2020
F2,"thrombophilia due to thrombin defect",AD,"Hemostasis Thrombosis",SOP6,Definitive,06/24/2020
F2,"congenital prothrombin deficiency",AR,"Hemostasis Thrombosis",SOP6,Definitive,06/24/2020
F5,"thrombophilia due to activated protein C resistance",AD,"Hemostasis Thrombosis",SOP6,Definitive,09/30/2019
F5,"congenital factor V deficiency",AR,"Hemostasis Thrombosis",SOP6,Definitive,03/25/2020
F7,"factor VII deficiency",AR,"Hemostasis Thrombosis",SOP6,Definitive,07/24/2019
F8,"hemophilia A",XL,"Hemostasis Thrombosis",SOP6,Definitive,07/24/2019
F9,"hemophilia B",XL,"Hemostasis Thrombosis",SOP6,Definitive,05/22/2019
F9,"thrombophilia, X-linked, due to factor 9 defect",XL,"Hemostasis Thrombosis",SOP6,Limited,06/24/2020
FAH,"tyrosinemia type I",AR,Aminoacidopathy,SOP7,Definitive,06/29/2020
FAN1,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Limited,10/23/2017
FANCA,"Fanconi anemia complementation group A",AR,"Hereditary Cancer",SOP6,Definitive,12/21/2018
FANCC,"Fanconi anemia complementation group C",AR,"Hereditary Cancer",SOP6,Definitive,12/21/2018
FANCE,"Fanconi anemia complementation group E",AR,"Hereditary Cancer",SOP7,Definitive,05/14/2020
FANCF,"Fanconi anemia complementation group f",AR,"Hereditary Cancer",SOP8,Definitive,02/03/2021
FANCG,"Fanconi anemia complementation group G",AR,"Hereditary Cancer",SOP6,Definitive,12/21/2018
FANCL,"Fanconi anemia complementation group L",AR,"Hereditary Cancer",SOP7,Definitive,07/30/2020
FARS2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,11/25/2019
FBN1,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Definitive,01/23/2017
FBN1,"Marfan syndrome",AD,"General Gene Curation",SOP6,Definitive,03/04/2019
FBN2,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Limited,12/22/2016
FBXL4,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Definitive,11/23/2020
FERMT3,"leukocyte adhesion deficiency 3",AR,"Hemostasis Thrombosis",SOP6,Definitive,08/28/2019
FGA,"congenital fibrinogen deficiency",SD,"Hemostasis Thrombosis",SOP7,Definitive,01/22/2020
FGB,"congenital fibrinogen deficiency",SD,"Hemostasis Thrombosis",SOP7,Definitive,01/22/2020
FGD1,"Aarskog-Scott syndrome, X-linked",XL,"Intellectual Disability and Autism",SOP5,Definitive,12/06/2017
FGD4,"Charcot-Marie-Tooth disease",AR,Charcot-Marie-Tooth,SOP7,Definitive,04/14/2020
FGF3,"deafness with labyrinthine aplasia, microtia, and microdontia",AR,"Hearing Loss",SOP6,Definitive,05/21/2019
FGFR1,"osteoglophonic dwarfism",AD,"Craniofacial Malformations",SOP8,Limited,03/22/2021
FGFR1,"Hartsfield-Bixler-Demyer syndrome",AD,"Craniofacial Malformations",SOP8,Moderate,03/16/2021
FGFR3,achondroplasia,AD,"General Gene Curation",SOP4,Definitive,12/01/2016
FGG,"congenital fibrinogen deficiency",SD,"Hemostasis Thrombosis",SOP7,Definitive,01/23/2020
FH,"hereditary leiomyomatosis and renal cell cancer",AD,"Hereditary Cancer",SOP7,Definitive,05/14/2020
FKRP,"muscular dystrophy-dystroglycanopathy",AR,"Limb Girdle Muscular Dystrophy",SOP7,Definitive,08/11/2020
FKTN,"muscular dystrophy-dystroglycanopathy",AR,"Limb Girdle Muscular Dystrophy",SOP7,Definitive,07/01/2020
FLAD1,"myopathy with abnormal lipid metabolism",AR,"Fatty Acid Oxidation Disorders",SOP7,Definitive,12/16/2020
FLCN,"Birt-Hogg-Dube syndrome",AD,"Hereditary Cancer",SOP5,Definitive,06/04/2018
FLNA,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Limited,12/22/2016
FLNA,"periventricular nodular heterotopia",XL,"Intellectual Disability and Autism",SOP8,Definitive,12/27/2020
FLNC,"myofibrillar myopathy 5",AD,"Hypertrophic Cardiomyopathy",SOP5,Definitive,12/12/2017
FLNC,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Definitive,11/06/2020
FMO3,"trimethylaminuria (disease)",AR,Aminoacidopathy,SOP7,Definitive,08/14/2020
FMR1,"fragile X syndrome",XL,"Intellectual Disability and Autism",SOP6,Definitive,06/03/2019
FOLR1,"neurodegenerative syndrome due to cerebral folate transport deficiency",AR,"Intellectual Disability and Autism",SOP5,Definitive,04/27/2018
FOXE3,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Moderate,06/15/2016
FOXG1,"FOXG1 disorder",AD,"Rett and Angelman-like Disorders",SOP5,Definitive,07/02/2018
FOXI1,"syndromic genetic deafness",AR,"Hearing Loss",SOP6,Limited,02/27/2018
FOXI1,"enlarged vestibular aqueduct syndrome",AR,"Hearing Loss",SOP5,Disputed,09/10/2018
FOXP1,"intellectual disability-severe speech delay-mild dysmorphism syndrome",AD,"Intellectual Disability and Autism",SOP6,Definitive,05/09/2019
FOXP2,"specific language disorder",AD,"Intellectual Disability and Autism",SOP6,Definitive,05/21/2019
FOXRED1,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,10/16/2019
FTSJ1,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Moderate,01/17/2018
FXN,"Friedreich ataxia",AR,"Hypertrophic Cardiomyopathy",SOP5,Definitive,12/22/2017
FYB1,"thrombocytopenia 3",AR,"Hemostasis Thrombosis",SOP7,Limited,11/25/2020
GAA,"glycogen storage disease II",AR,"General Gene Curation",SOP6,Definitive,01/23/2019
GABRA1,"developmental and epileptic encephalopathy",AD,Epilepsy,SOP6,Definitive,05/21/2019
GABRB3,"developmental and epileptic encephalopathy",AD,Epilepsy,SOP6,Definitive,02/05/2019
GABRG2,epilepsy,AD,Epilepsy,SOP7,Definitive,01/21/2020
GALNT12,"colorectal cancer, susceptibility to, 1",AD,"Colon Cancer",SOP4,Limited,06/08/2017
GAMT,"guanidinoacetate methyltransferase deficiency",AR,Aminoacidopathy,SOP6,Definitive,01/25/2019
GANAB,"polycystic kidney disease 3 with or without polycystic liver disease",AD,"Kidney Cystic and Ciliopathy Disorders",SOP7,Definitive,09/09/2020
GATA1,"GATA1-Related X-Linked Cytopenia",XL,"Hemostasis Thrombosis",SOP7,Definitive,05/27/2020
GATA2,"GATA2 deficiency with susceptibility to MDS/AML",AD,"Hereditary Cancer",SOP6,Definitive,08/18/2019
GATA3,"hypoparathyroidism-deafness-renal disease syndrome",AD,"Hearing Loss",SOP6,Definitive,06/18/2019
GATAD1,"dilated cardiomyopathy",AR,"Dilated Cardiomyopathy",SOP7,Limited,09/04/2020
GATM,"AGAT deficiency",AR,Aminoacidopathy,SOP6,Definitive,03/08/2019
GBA,"Gaucher disease",AR,"General Gene Curation",SOP7,Definitive,06/24/2020
GCDH,"glutaryl-CoA dehydrogenase deficiency",AR,Aminoacidopathy,SOP7,Definitive,11/08/2019
GCH1,"GTP cyclohydrolase I deficiency",SD,Aminoacidopathy,SOP7,Definitive,12/11/2020
GCK,"monogenic diabetes",AD,"Monogenic Diabetes",SOP7,Definitive,05/13/2020
GDAP1,"Charcot-Marie-Tooth disease",SD,Charcot-Marie-Tooth,SOP7,Definitive,07/28/2020
GDF2,"pulmonary arterial hypertension",AD,"Pulmonary Hypertension",SOP8,Strong,01/23/2021
GDI1,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Moderate,05/24/2018
GEN1,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Disputed,12/13/2017
GEN1,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",01/11/2017
GFI1B,"platelet-type bleeding disorder 17",AD,"Hemostasis Thrombosis",SOP6,Definitive,11/27/2019
GFM1,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,12/19/2019
GFM2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,12/19/2019
GGCX,"vitamin K-dependent clotting factors, combined deficiency of, type 1",AR,"Hemostasis Thrombosis",SOP7,Definitive,02/24/2021
GIPC3,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,08/22/2017
GJA1,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Disputed,01/16/2018
GJB1,"Charcot-Marie-Tooth disease X-linked dominant 1",XL,Charcot-Marie-Tooth,SOP7,Definitive,01/14/2020
GJB2,"autosomal recessive nonsyndromic deafness",AR,"Hearing Loss",SOP4,Definitive,03/02/2017
GJB2,"syndromic genetic deafness",AD,"Hearing Loss",SOP6,Definitive,06/26/2018
GJB3,"erythrokeratodermia variabilis",AD,"Hearing Loss",SOP6,Strong,03/05/2018
GJB3,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP5,Disputed,08/23/2018
GJB6,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP5,Refuted,09/10/2018
GJB6,"Clouston syndrome",AD,"Hearing Loss",SOP6,Definitive,04/17/2018
GLA,"Fabry disease",XL,"General Gene Curation",SOP6,Definitive,01/23/2019
GLDC,"glycine encephalopathy",AR,Aminoacidopathy,SOP6,Definitive,02/06/2019
GLUL,"congenital brain dysgenesis due to glutamine synthetase deficiency",AR,Aminoacidopathy,SOP7,Moderate,06/29/2020
GNAO1,"movement disorder",AD,Epilepsy,SOP6,Definitive,02/19/2019
GNAO1,"obsolete early infantile epileptic encephalopathy",AD,Epilepsy,SOP6,Definitive,12/18/2018
GNB4,"Charcot-Marie-Tooth disease",AD,Charcot-Marie-Tooth,SOP7,Moderate,04/14/2020
GNE,"isolated hereditary giant platelet disorder",AR,"Hemostasis Thrombosis",SOP7,Limited,08/26/2020
GNMT,"glycine N-methyltransferase deficiency",AR,Aminoacidopathy,SOP6,Limited,05/10/2019
GNPAT,"rhizomelic chondrodysplasia punctata",AR,"Peroxisomal Disorders",SOP7,Definitive,02/07/2020
GP1BA,"Bernard-Soulier syndrome",AR,"Hemostasis Thrombosis",SOP7,Definitive,05/27/2020
GP1BA,"pseudo-von Willebrand disease",AD,"Hemostasis Thrombosis",SOP7,Definitive,05/27/2020
GP1BB,"Bernard-Soulier syndrome",AR,"Hemostasis Thrombosis",SOP6,Definitive,06/06/2019
GP6,"platelet-type bleeding disorder 11",AR,"Hemostasis Thrombosis",SOP6,Definitive,10/23/2019
GP9,"Bernard-Soulier syndrome",AR,"Hemostasis Thrombosis",SOP6,Definitive,11/27/2019
GPC3,"Simpson-Golabi-Behmel syndrome",XL,"Intellectual Disability and Autism",SOP6,Definitive,12/31/2019
GPD1L,"Brugada syndrome 1",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
GPSM2,"Chudley-McCullough syndrome",AR,"Hearing Loss",SOP6,Definitive,05/01/2018
GREM1,"hereditary mixed polyposis syndrome",AD,"Colon Cancer",SOP4,Strong,10/11/2016
GRHL2,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP7,Definitive,05/01/2020
GRIA3,"complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP7,Definitive,11/06/2019
GRIN1,"complex neurodevelopmental disorder",AR,Epilepsy,SOP6,Moderate,03/07/2019
GRIN1,"complex neurodevelopmental disorder",AD,Epilepsy,SOP6,Definitive,11/20/2018
GRIN2A,"complex neurodevelopmental disorder",AD,Epilepsy,SOP6,Definitive,07/16/2019
GRIN2B,"complex neurodevelopmental disorder",AD,Epilepsy,SOP6,Definitive,03/19/2019
GRIN2D,"infantile epilepsy syndrome",AD,Epilepsy,SOP5,Limited,07/06/2018
GRK1,"Oguchi disease",AR,Retina,SOP8,Definitive,01/07/2021
GRXCR1,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,04/24/2018
GRXCR2,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Moderate,01/07/2019
GSDME,"autosomal dominant nonsyndromic deafness",AD,"Hearing Loss",SOP5,Definitive,07/19/2018
GSS,"inherited glutathione synthetase deficiency",AR,Aminoacidopathy,SOP6,Definitive,04/26/2019
GSTZ1,"maleylacetoacetate isomerase deficiency",AR,Aminoacidopathy,SOP6,Moderate,03/22/2019
GTPBP3,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Moderate,02/12/2020
HAAO,"vertebral, cardiac, renal, and limb defects syndrome 1",AR,Aminoacidopathy,SOP7,Limited,07/10/2020
HACD1,"congenital myopathy",AR,"Congenital Myopathies",SOP7,Moderate,07/30/2020
HADH,"hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,06/26/2018
HADHA,"long chain 3-hydroxyacyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,02/12/2018
HADHB,"mitochondrial trifunctional protein deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,05/08/2018
HAL,histidinemia,AR,Aminoacidopathy,SOP7,Limited,09/25/2020
HARS1,"Usher syndrome type 3",AR,"Hearing Loss",SOP5,Refuted,05/24/2018
HARS2,"Perrault syndrome 2",AR,"Hearing Loss",SOP6,Limited,05/15/2018
HCN4,"Brugada syndrome 1",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
HCN4,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Limited,12/22/2016
HDAC8,"Cornelia de Lange syndrome",XL,"Intellectual Disability and Autism",SOP5,Definitive,09/11/2018
HEXA,"Tay-Sachs disease",AR,"General Gene Curation",SOP7,Definitive,05/27/2020
HGD,alkaptonuria,AR,Aminoacidopathy,SOP7,Definitive,06/29/2020
HGF,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Moderate,01/16/2018
HIBCH,"3-hydroxyisobutyryl-CoA hydrolase deficiency",AR,Aminoacidopathy,SOP6,Definitive,11/07/2019
HINT1,"Charcot-Marie-Tooth disease",AR,Charcot-Marie-Tooth,SOP8,Definitive,03/22/2021
HLCS,"holocarboxylase synthetase deficiency",AR,Aminoacidopathy,SOP7,Definitive,02/26/2021
HMGCL,"3-hydroxy-3-methylglutaric aciduria",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,06/26/2018
HMGCS2,"3-hydroxy-3-methylglutaryl-CoA synthase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,05/22/2018
HNF1A,"monogenic diabetes",AD,"Monogenic Diabetes",SOP7,Definitive,10/05/2018
HNF1B,"renal cysts and diabetes syndrome",AD,"Monogenic Diabetes",SOP7,Definitive,12/10/2019
HNF4A,"monogenic diabetes",AD,"Monogenic Diabetes",SOP6,Definitive,02/27/2019
HNRNPK,"neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome",AD,"General Gene Curation",SOP4,Moderate,11/15/2016
HOMER2,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP7,Moderate,08/31/2020
HOXA1,"complex neurodevelopmental disorder",AR,"Intellectual Disability and Autism",SOP6,Definitive,06/19/2019
HPD,hawkinsinuria,AD,Aminoacidopathy,SOP7,Limited,06/26/2020
HPD,"tyrosinemia type III",AR,Aminoacidopathy,SOP7,Definitive,06/29/2020
HPRT1,"Lesch-Nyhan syndrome",XL,"Intellectual Disability and Autism",SOP5,Definitive,03/07/2018
HPS1,"Hermansky-Pudlak syndrome 1",AR,"Hemostasis Thrombosis",SOP6,Definitive,07/22/2019
HPS3,"Hermansky-Pudlak syndrome 3",AR,"Hemostasis Thrombosis",SOP6,Definitive,02/26/2020
HPS4,"Hermansky-Pudlak syndrome 4",AR,"Hemostasis Thrombosis",SOP7,Definitive,05/27/2020
HPS6,"Hermansky-Pudlak syndrome 6",AR,"Hemostasis Thrombosis",SOP7,Definitive,11/25/2020
HRAS,"Costello syndrome",AD,RASopathy,SOP5,Definitive,07/24/2018
HRAS,"Noonan syndrome-like disorder with loose anagen hair",AD,RASopathy,SOP5,Disputed,07/25/2018
HSD17B10,"HSD10 mitochondrial disease",XL,"Fatty Acid Oxidation Disorders",SOP6,Definitive,10/09/2018
HSD17B4,"Perrault syndrome",AR,"Hearing Loss",SOP5,Definitive,05/30/2018
HSPB8,"autosomal dominant distal hereditary motor neuropathy",AD,Charcot-Marie-Tooth,SOP8,Definitive,03/22/2021
HUWE1,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Definitive,10/20/2017
IARS2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Limited,11/25/2019
IDS,"mucopolysaccharidosis type 2",XL,"Intellectual Disability and Autism",SOP5,Definitive,02/21/2018
